"","Balancing Authority","Data_Date","Hour_Number","Local Time at End of Hour","UTC Time at End of Hour","Demand_Forecast","Demand_MW","Net_Generation","Total_Interchange","Sum_Valid_DIBAs","Demand_Adjusted","Net_Generation_Adjusted","Day_Ahead_Hourly_Price","Real_Time_Hourly_Price","Energy_Consumption","Year"
"1","PJM",2019-01-01,1,2019-01-01 01:00:00,2019-01-01 06:00:00,73874,73926,70094,3458,-3321,73926,70094,2,1.7,72062,"2019"
"2","PJM",2019-01-01,2,2019-01-01 02:00:00,2019-01-01 07:00:00,71513,72062,69079,4191,-3745,72062,69079,2.1,1.2,70756,"2019"
"3","PJM",2019-01-01,3,2019-01-01 03:00:00,2019-01-01 08:00:00,70284,70756,68034,3905,-3221,70756,68034,2.2,1.9,69515,"2019"
"4","PJM",2019-01-01,4,2019-01-01 04:00:00,2019-01-01 09:00:00,69889,69515,67307,3875,-3403,69515,67307,2.2,2,68853,"2019"
"5","PJM",2019-01-01,5,2019-01-01 05:00:00,2019-01-01 10:00:00,70949,68853,67418,4409,-4389,68853,67418,2.3,2.1,68963,"2019"
"6","PJM",2019-01-01,6,2019-01-01 06:00:00,2019-01-01 11:00:00,74585,68963,68335,4363,-6230,68963,68335,2.3,2.1,69854,"2019"
"7","PJM",2019-01-01,7,2019-01-01 07:00:00,2019-01-01 12:00:00,79821,69854,68793,4158,-5969,69854,68793,2.3,2.1,70903,"2019"
"8","PJM",2019-01-01,8,2019-01-01 08:00:00,2019-01-01 13:00:00,84141,70903,70197,3503,-5981,70903,70197,2.2,2.1,72179,"2019"
"9","PJM",2019-01-01,9,2019-01-01 09:00:00,2019-01-01 14:00:00,86487,72179,72765,4068,-7081,72179,72765,2.2,2.1,74696,"2019"
"10","PJM",2019-01-01,10,2019-01-01 10:00:00,2019-01-01 15:00:00,87708,74696,74651,3974,-7392,74696,74651,2.3,2.1,77250,"2019"
"11","PJM",2019-01-01,11,2019-01-01 11:00:00,2019-01-01 16:00:00,88668,77250,76318,3990,-6662,77250,76318,2.4,2.4,78965,"2019"
"12","PJM",2019-01-01,12,2019-01-01 12:00:00,2019-01-01 17:00:00,88976,78965,76312,4209,-5448,78965,76312,2.9,2.8,79373,"2019"
"13","PJM",2019-01-01,13,2019-01-01 13:00:00,2019-01-01 18:00:00,88719,79373,75383,3909,-6276,79373,75383,2.9,3,79311,"2019"
"14","PJM",2019-01-01,14,2019-01-01 14:00:00,2019-01-01 19:00:00,88649,79311,75240,2892,-5958,79311,75240,2.8,2.3,79817,"2019"
"15","PJM",2019-01-01,15,2019-01-01 15:00:00,2019-01-01 20:00:00,88238,79817,74740,1956,-6022,79817,74740,2.8,2.5,80800,"2019"
"16","PJM",2019-01-01,16,2019-01-01 16:00:00,2019-01-01 21:00:00,88592,80800,76867,1451,-6424,80800,76867,2.6,3.1,83593,"2019"
"17","PJM",2019-01-01,17,2019-01-01 17:00:00,2019-01-01 22:00:00,90539,83593,83396,1556,-5914,83593,83396,2.4,2.5,89012,"2019"
"18","PJM",2019-01-01,18,2019-01-01 18:00:00,2019-01-01 23:00:00,95040,89012,85584,1663,-3919,89012,85584,2.3,2,89834,"2019"
"19","PJM",2019-01-01,19,2019-01-01 19:00:00,2019-01-02 00:00:00,95446,89834,84904,3572,-2106,89834,84904,2.3,2.2,89119,"2019"
"20","PJM",2019-01-01,20,2019-01-01 20:00:00,2019-01-02 01:00:00,93890,89119,82669,2611,-892,89119,82669,2.3,2.2,87728,"2019"
"21","PJM",2019-01-01,21,2019-01-01 21:00:00,2019-01-02 02:00:00,93560,87728,83838,2000,-720,87728,83838,2.3,2.1,85318,"2019"
"22","PJM",2019-01-01,22,2019-01-01 22:00:00,2019-01-02 03:00:00,91436,85318,80423,4444,-619,85318,80423,2.3,2.1,81720,"2019"
"23","PJM",2019-01-01,23,2019-01-01 23:00:00,2019-01-02 04:00:00,87234,81720,74542,4608,-5102,81720,74542,2.3,2,78215,"2019"
"24","PJM",2019-01-01,24,2019-01-02 00:00:00,2019-01-02 05:00:00,82650,78215,71608,1841,-2829,78215,71608,2.5,2.2,76219,"2019"
"25","PJM",2019-01-02,1,2019-01-02 01:00:00,2019-01-02 06:00:00,76233,76219,73146,3133,-1621,76219,73146,3.1,3,75598,"2019"
"26","PJM",2019-01-02,2,2019-01-02 02:00:00,2019-01-02 07:00:00,74388,75598,72908,3619,-7162,75598,72908,3.2,3.1,75736,"2019"
"27","PJM",2019-01-02,3,2019-01-02 03:00:00,2019-01-02 08:00:00,73530,75736,72786,3124,-7105,75736,72786,3.3,2.8,75872,"2019"
"28","PJM",2019-01-02,4,2019-01-02 04:00:00,2019-01-02 09:00:00,73569,75872,72898,2977,-1684,75872,72898,3.5,3.1,77069,"2019"
"29","PJM",2019-01-02,5,2019-01-02 05:00:00,2019-01-02 10:00:00,75432,77069,77380,2779,-4155,77069,77380,3.3,2.7,81476,"2019"
"30","PJM",2019-01-02,6,2019-01-02 06:00:00,2019-01-02 11:00:00,79643,81476,83553,2933,-5343,81476,83553,3.2,2.8,88974,"2019"
"31","PJM",2019-01-02,7,2019-01-02 07:00:00,2019-01-02 12:00:00,86115,88974,90045,2989,-4364,88974,90045,3.1,2.4,94629,"2019"
"32","PJM",2019-01-02,8,2019-01-02 08:00:00,2019-01-02 13:00:00,90833,94629,90430,3216,-4056,94629,90430,3,2.5,96052,"2019"
"33","PJM",2019-01-02,9,2019-01-02 09:00:00,2019-01-02 14:00:00,92583,96052,91253,2993,-3611,96052,91253,2.9,2.5,96343,"2019"
"34","PJM",2019-01-02,10,2019-01-02 10:00:00,2019-01-02 15:00:00,92862,96343,93133,3414,-3843,96343,93133,2.8,2.2,96829,"2019"
"35","PJM",2019-01-02,11,2019-01-02 11:00:00,2019-01-02 16:00:00,92938,96829,92676,4034,-3479,96829,92676,3.1,2.6,96764,"2019"
"36","PJM",2019-01-02,12,2019-01-02 12:00:00,2019-01-02 17:00:00,92496,96764,91541,4030,-3898,96764,91541,4,3,96228,"2019"
"37","PJM",2019-01-02,13,2019-01-02 13:00:00,2019-01-02 18:00:00,91961,96228,92424,4026,-3767,96228,92424,3.6,2.8,96516,"2019"
"38","PJM",2019-01-02,14,2019-01-02 14:00:00,2019-01-02 19:00:00,91472,96516,91849,3969,-4587,96516,91849,3.5,2.4,96338,"2019"
"39","PJM",2019-01-02,15,2019-01-02 15:00:00,2019-01-02 20:00:00,91212,96338,90669,3968,-5703,96338,90669,3.1,2.1,96454,"2019"
"40","PJM",2019-01-02,16,2019-01-02 16:00:00,2019-01-02 21:00:00,91614,96454,93292,3831,-5649,96454,93292,3,2.4,98841,"2019"
"41","PJM",2019-01-02,17,2019-01-02 17:00:00,2019-01-02 22:00:00,94663,98841,98019,4053,-5914,98841,98019,2.7,2.3,103309,"2019"
"42","PJM",2019-01-02,18,2019-01-02 18:00:00,2019-01-02 23:00:00,100393,103309,99342,4277,-5628,103309,99342,2.5,2.2,103563,"2019"
"43","PJM",2019-01-02,19,2019-01-02 19:00:00,2019-01-03 00:00:00,100347,103563,96804,5096,-5676,103563,96804,2.2,2.1,102023,"2019"
"44","PJM",2019-01-02,20,2019-01-02 20:00:00,2019-01-03 01:00:00,98605,102023,96075,4267,-5371,102023,96075,2.1,2.1,99984,"2019"
"45","PJM",2019-01-02,21,2019-01-02 21:00:00,2019-01-03 02:00:00,97048,99984,91025,4537,-5881,99984,91025,2.1,2,95984,"2019"
"46","PJM",2019-01-02,22,2019-01-02 22:00:00,2019-01-03 03:00:00,94210,95984,86272,4384,-6125,95984,86272,2,2,90866,"2019"
"47","PJM",2019-01-02,23,2019-01-02 23:00:00,2019-01-03 04:00:00,89533,90866,81207,3876,-7821,90866,81207,2.1,2,86151,"2019"
"48","PJM",2019-01-02,24,2019-01-03 00:00:00,2019-01-03 05:00:00,84760,86151,73084,3098,-6207,86151,73084,2.2,2,82740,"2019"
"49","PJM",2019-01-03,1,2019-01-03 01:00:00,2019-01-03 06:00:00,79695,82740,75429,2312,-6729,82740,75429,2.6,2.3,80814,"2019"
"50","PJM",2019-01-03,2,2019-01-03 02:00:00,2019-01-03 07:00:00,77390,80814,74856,2205,-6304,80814,74856,2.8,2.4,80448,"2019"
"51","PJM",2019-01-03,3,2019-01-03 03:00:00,2019-01-03 08:00:00,76265,80448,74715,2009,-5121,80448,74715,2.9,2.4,80257,"2019"
"52","PJM",2019-01-03,4,2019-01-03 04:00:00,2019-01-03 09:00:00,76178,80257,75057,2230,-3647,80257,75057,2.9,2.4,81009,"2019"
"53","PJM",2019-01-03,5,2019-01-03 05:00:00,2019-01-03 10:00:00,77843,81009,77055,2122,-2243,81009,77055,2.9,2.4,84212,"2019"
"54","PJM",2019-01-03,6,2019-01-03 06:00:00,2019-01-03 11:00:00,82305,84212,83234,1575,-2238,84212,83234,2.8,2.2,91596,"2019"
"55","PJM",2019-01-03,7,2019-01-03 07:00:00,2019-01-03 12:00:00,89143,91596,89256,1105,-1975,91596,89256,2.7,2.4,96677,"2019"
"56","PJM",2019-01-03,8,2019-01-03 08:00:00,2019-01-03 13:00:00,93960,96677,89572,1461,-2432,96677,89572,2.7,2.3,97188,"2019"
"57","PJM",2019-01-03,9,2019-01-03 09:00:00,2019-01-03 14:00:00,94750,97188,88631,1732,-2348,97188,88631,2.6,2,96808,"2019"
"58","PJM",2019-01-03,10,2019-01-03 10:00:00,2019-01-03 15:00:00,94254,96808,89563,1457,-1084,96808,89563,2.5,2.1,96840,"2019"
"59","PJM",2019-01-03,11,2019-01-03 11:00:00,2019-01-03 16:00:00,93534,96840,88264,1828,-343,96840,88264,2.7,2.2,96041,"2019"
"60","PJM",2019-01-03,12,2019-01-03 12:00:00,2019-01-03 17:00:00,92488,96041,87772,1886,-977,96041,87772,3,2.4,95078,"2019"
"61","PJM",2019-01-03,13,2019-01-03 13:00:00,2019-01-03 18:00:00,91272,95078,87373,2376,-1459,95078,87373,2.9,2.3,94238,"2019"
"62","PJM",2019-01-03,14,2019-01-03 14:00:00,2019-01-03 19:00:00,90488,94238,86484,2467,-1125,94238,86484,2.9,2.5,93218,"2019"
"63","PJM",2019-01-03,15,2019-01-03 15:00:00,2019-01-03 20:00:00,89764,93218,86314,2125,-1652,93218,86314,2.8,2.3,93287,"2019"
"64","PJM",2019-01-03,16,2019-01-03 16:00:00,2019-01-03 21:00:00,89976,93287,87824,2298,-2341,93287,87824,2.6,2.1,95547,"2019"
"65","PJM",2019-01-03,17,2019-01-03 17:00:00,2019-01-03 22:00:00,92348,95547,93125,1989,-3295,95547,93125,2.4,2.1,101637,"2019"
"66","PJM",2019-01-03,18,2019-01-03 18:00:00,2019-01-03 23:00:00,97809,101637,96176,2094,-3404,101637,96176,2.2,2,103784,"2019"
"67","PJM",2019-01-03,19,2019-01-03 19:00:00,2019-01-04 00:00:00,98995,103784,95603,2705,-2495,103784,95603,1.9,1.9,103292,"2019"
"68","PJM",2019-01-03,20,2019-01-03 20:00:00,2019-01-04 01:00:00,98209,103292,93663,2359,-2873,103292,93663,1.8,1.1,101909,"2019"
"69","PJM",2019-01-03,21,2019-01-03 21:00:00,2019-01-04 02:00:00,97247,101909,91946,2020,-1851,101909,91946,1.8,1.9,98959,"2019"
"70","PJM",2019-01-03,22,2019-01-03 22:00:00,2019-01-04 03:00:00,94889,98959,88078,2418,-2114,98959,88078,1.8,2,94328,"2019"
"71","PJM",2019-01-03,23,2019-01-03 23:00:00,2019-01-04 04:00:00,90540,94328,84650,3153,-3484,94328,84650,1.9,1.9,90254,"2019"
"72","PJM",2019-01-03,24,2019-01-04 00:00:00,2019-01-04 05:00:00,85971,90254,77527,2831,-2690,90254,77527,2.1,2.2,87368,"2019"
"73","PJM",2019-01-04,1,2019-01-04 01:00:00,2019-01-04 06:00:00,84011,87368,79920,2358,-2401,87368,79920,2.5,3,85477,"2019"
"74","PJM",2019-01-04,2,2019-01-04 02:00:00,2019-01-04 07:00:00,81821,85477,80065,2325,-3133,85477,80065,2.7,3.3,84715,"2019"
"75","PJM",2019-01-04,3,2019-01-04 03:00:00,2019-01-04 08:00:00,81025,84715,79872,2962,-4015,84715,79872,2.8,2.7,84825,"2019"
"76","PJM",2019-01-04,4,2019-01-04 04:00:00,2019-01-04 09:00:00,81125,84825,81040,3086,-3503,84825,81040,2.8,3.8,86507,"2019"
"77","PJM",2019-01-04,5,2019-01-04 05:00:00,2019-01-04 10:00:00,83002,86507,83466,2899,-2458,86507,83466,2.7,2.5,90241,"2019"
"78","PJM",2019-01-04,6,2019-01-04 06:00:00,2019-01-04 11:00:00,87685,90241,90390,2218,-2273,90241,90390,2.6,2.6,97691,"2019"
"79","PJM",2019-01-04,7,2019-01-04 07:00:00,2019-01-04 12:00:00,94765,97691,95301,2114,-3414,97691,95301,2.6,2.5,102386,"2019"
"80","PJM",2019-01-04,8,2019-01-04 08:00:00,2019-01-04 13:00:00,99404,102386,94651,2197,-3178,102386,94651,2.5,2.5,102360,"2019"
"81","PJM",2019-01-04,9,2019-01-04 09:00:00,2019-01-04 14:00:00,99417,102360,93451,1940,-2956,102360,93451,2.5,2.4,101061,"2019"
"82","PJM",2019-01-04,10,2019-01-04 10:00:00,2019-01-04 15:00:00,97889,101061,91598,1783,-2157,101061,91598,2.4,2.3,99453,"2019"
"83","PJM",2019-01-04,11,2019-01-04 11:00:00,2019-01-04 16:00:00,96268,99453,90118,904,-1653,99453,90118,2.5,2.4,97364,"2019"
"84","PJM",2019-01-04,12,2019-01-04 12:00:00,2019-01-04 17:00:00,94564,97364,88363,1106,-1786,97364,88363,2.7,2.9,95775,"2019"
"85","PJM",2019-01-04,13,2019-01-04 13:00:00,2019-01-04 18:00:00,92750,95775,87923,1172,-1617,95775,87923,2.7,2.8,94578,"2019"
"86","PJM",2019-01-04,14,2019-01-04 14:00:00,2019-01-04 19:00:00,91585,94578,87545,1749,-1631,94578,87545,2.6,2.3,93468,"2019"
"87","PJM",2019-01-04,15,2019-01-04 15:00:00,2019-01-04 20:00:00,90621,93468,87111,2071,-1200,93468,87111,2.4,2.3,93005,"2019"
"88","PJM",2019-01-04,16,2019-01-04 16:00:00,2019-01-04 21:00:00,90594,93005,88117,2184,-1817,93005,88117,2.3,2,94566,"2019"
"89","PJM",2019-01-04,17,2019-01-04 17:00:00,2019-01-04 22:00:00,92880,94566,91772,1996,-2098,94566,91772,2.2,2,98457,"2019"
"90","PJM",2019-01-04,18,2019-01-04 18:00:00,2019-01-04 23:00:00,97639,98457,93482,2106,-2618,98457,93482,2,2,98880,"2019"
"91","PJM",2019-01-04,19,2019-01-04 19:00:00,2019-01-05 00:00:00,97867,98880,91314,2974,-2562,98880,91314,2,2.4,97204,"2019"
"92","PJM",2019-01-04,20,2019-01-04 20:00:00,2019-01-05 01:00:00,96149,97204,89079,2577,-2446,97204,89079,1.9,2.2,95065,"2019"
"93","PJM",2019-01-04,21,2019-01-04 21:00:00,2019-01-05 02:00:00,94628,95065,86476,2063,-2114,95065,86476,1.9,2.8,92189,"2019"
"94","PJM",2019-01-04,22,2019-01-04 22:00:00,2019-01-05 03:00:00,92404,92189,83836,2221,-2126,92189,83836,1.9,2,88575,"2019"
"95","PJM",2019-01-04,23,2019-01-04 23:00:00,2019-01-05 04:00:00,88578,88575,81238,2685,-3272,88575,81238,1.8,2.2,84168,"2019"
"96","PJM",2019-01-04,24,2019-01-05 00:00:00,2019-01-05 05:00:00,83792,84168,81576,3218,-2798,84168,81576,1.9,2.1,81126,"2019"
"97","PJM",2019-01-05,1,2019-01-05 01:00:00,2019-01-05 06:00:00,79500,81126,79377,3914,-2330,81126,79377,2,2,79576,"2019"
"98","PJM",2019-01-05,3,2019-01-05 03:00:00,2019-01-05 08:00:00,75755,78530,77158,4497,-2547,78530,77158,2.5,2.4,77865,"2019"
"99","PJM",2019-01-05,4,2019-01-05 04:00:00,2019-01-05 09:00:00,75256,77865,77961,4205,-3136,77865,77961,2.6,2.4,78330,"2019"
"100","PJM",2019-01-05,5,2019-01-05 05:00:00,2019-01-05 10:00:00,75834,78330,78298,4253,-4168,78330,78298,2.5,2.4,79669,"2019"
"101","PJM",2019-01-05,6,2019-01-05 06:00:00,2019-01-05 11:00:00,77457,79669,78917,3834,-4960,79669,78917,2.4,2.4,80928,"2019"
"102","PJM",2019-01-05,7,2019-01-05 07:00:00,2019-01-05 12:00:00,79905,80928,81788,3372,-4923,80928,81788,2.3,2.2,83416,"2019"
"103","PJM",2019-01-05,8,2019-01-05 08:00:00,2019-01-05 13:00:00,83182,83416,84254,3261,-5172,83416,84254,2.2,2.1,85987,"2019"
"104","PJM",2019-01-05,9,2019-01-05 09:00:00,2019-01-05 14:00:00,85938,85987,85607,2896,-5337,85987,85607,2.1,1.9,87626,"2019"
"105","PJM",2019-01-05,10,2019-01-05 10:00:00,2019-01-05 15:00:00,87482,87626,86602,2746,-5064,87626,86602,2.1,1.9,88191,"2019"
"106","PJM",2019-01-05,11,2019-01-05 11:00:00,2019-01-05 16:00:00,87562,88191,85619,2697,-4819,88191,85619,2.2,2,87747,"2019"
"107","PJM",2019-01-05,12,2019-01-05 12:00:00,2019-01-05 17:00:00,86523,87747,84173,2418,-4546,87747,84173,2.6,3.2,86419,"2019"
"108","PJM",2019-01-05,13,2019-01-05 13:00:00,2019-01-05 18:00:00,85034,86419,82394,2288,-3565,86419,82394,2.6,2.2,84835,"2019"
"109","PJM",2019-01-05,14,2019-01-05 14:00:00,2019-01-05 19:00:00,83456,84835,80767,2233,-3467,84835,80767,2.5,2.1,83212,"2019"
"110","PJM",2019-01-05,15,2019-01-05 15:00:00,2019-01-05 20:00:00,82423,83212,80367,2269,-2947,83212,80367,2.4,2,82689,"2019"
"111","PJM",2019-01-05,16,2019-01-05 16:00:00,2019-01-05 21:00:00,82320,82689,80286,2193,-2900,82689,80286,2.3,2,83858,"2019"
"112","PJM",2019-01-05,17,2019-01-05 17:00:00,2019-01-05 22:00:00,84380,83858,85675,1922,-2266,83858,85675,2.2,2.2,88750,"2019"
"113","PJM",2019-01-05,18,2019-01-05 18:00:00,2019-01-05 23:00:00,88424,88750,87814,2075,-2226,88750,87814,2,1.9,91023,"2019"
"114","PJM",2019-01-05,19,2019-01-05 19:00:00,2019-01-06 00:00:00,89603,91023,86792,2756,-2055,91023,86792,1.9,1.9,90377,"2019"
"115","PJM",2019-01-05,20,2019-01-05 20:00:00,2019-01-06 01:00:00,89260,90377,85366,2178,-2009,90377,85366,1.9,2,89342,"2019"
"116","PJM",2019-01-05,21,2019-01-05 21:00:00,2019-01-06 02:00:00,88735,89342,83813,1929,-1897,89342,83813,1.9,2,87403,"2019"
"117","PJM",2019-01-05,22,2019-01-05 22:00:00,2019-01-06 03:00:00,87144,87403,82201,1960,-1884,87403,82201,1.9,1.9,84774,"2019"
"118","PJM",2019-01-05,23,2019-01-05 23:00:00,2019-01-06 04:00:00,84214,84774,78647,2582,-2758,84774,78647,1.9,2,81490,"2019"
"119","PJM",2019-01-05,24,2019-01-06 00:00:00,2019-01-06 05:00:00,80544,81490,79615,2279,-2249,81490,79615,1.9,1.9,79053,"2019"
"120","PJM",2019-01-06,1,2019-01-06 01:00:00,2019-01-06 06:00:00,76099,79053,75960,2698,-2084,79053,75960,1.8,2,77783,"2019"
"121","PJM",2019-01-06,2,2019-01-06 02:00:00,2019-01-06 07:00:00,73906,77783,76212,3616,-2168,77783,76212,2,2,77371,"2019"
"122","PJM",2019-01-06,3,2019-01-06 03:00:00,2019-01-06 08:00:00,72760,77371,76081,4206,-2922,77371,76081,2.2,2,77314,"2019"
"123","PJM",2019-01-06,4,2019-01-06 04:00:00,2019-01-06 09:00:00,72457,77314,76527,4115,-2538,77314,76527,2.3,1.8,77707,"2019"
"124","PJM",2019-01-06,5,2019-01-06 05:00:00,2019-01-06 10:00:00,73008,77707,76877,4120,-3499,77707,76877,2.2,1.9,78270,"2019"
"125","PJM",2019-01-06,6,2019-01-06 06:00:00,2019-01-06 11:00:00,74356,78270,77366,3720,-5285,78270,77366,2.2,1.9,79295,"2019"
"126","PJM",2019-01-06,7,2019-01-06 07:00:00,2019-01-06 12:00:00,76414,79295,79288,3468,-6552,79295,79288,2.1,1.9,81569,"2019"
"127","PJM",2019-01-06,8,2019-01-06 08:00:00,2019-01-06 13:00:00,79287,81569,81146,2790,-6579,81569,81146,2,1.8,83415,"2019"
"128","PJM",2019-01-06,9,2019-01-06 09:00:00,2019-01-06 14:00:00,81637,83415,81561,2980,-6621,83415,81561,1.9,1.8,83780,"2019"
"129","PJM",2019-01-06,10,2019-01-06 10:00:00,2019-01-06 15:00:00,82605,83780,80465,2886,-6189,83780,80465,1.9,1.9,82962,"2019"
"130","PJM",2019-01-06,11,2019-01-06 11:00:00,2019-01-06 16:00:00,82199,82962,78869,2612,-5660,82962,78869,2.2,2.1,81717,"2019"
"131","PJM",2019-01-06,12,2019-01-06 12:00:00,2019-01-06 17:00:00,81516,81717,78124,2295,-4735,81717,78124,2.6,2.2,80845,"2019"
"132","PJM",2019-01-06,13,2019-01-06 13:00:00,2019-01-06 18:00:00,80998,80845,76599,2384,-5051,80845,76599,2.6,2.4,79963,"2019"
"133","PJM",2019-01-06,14,2019-01-06 14:00:00,2019-01-06 19:00:00,80257,79963,76411,2393,-4217,79963,76411,2.5,2.2,79556,"2019"
"134","PJM",2019-01-06,15,2019-01-06 15:00:00,2019-01-06 20:00:00,79846,79556,76474,2371,-3359,79556,76474,2.4,2.1,80294,"2019"
"135","PJM",2019-01-06,16,2019-01-06 16:00:00,2019-01-06 21:00:00,80558,80294,79219,2409,-2647,80294,79219,2.3,2,83596,"2019"
"136","PJM",2019-01-06,17,2019-01-06 17:00:00,2019-01-06 22:00:00,83667,83596,86023,2539,-2814,83596,86023,2.1,1.9,90423,"2019"
"137","PJM",2019-01-06,18,2019-01-06 18:00:00,2019-01-06 23:00:00,89966,90423,90423,2026,-2952,90423,90423,2,1.9,93513,"2019"
"138","PJM",2019-01-06,21,2019-01-06 21:00:00,2019-01-07 02:00:00,92288,92838,87203,2345,-2060,92838,87203,1.3,0.6,90500,"2019"
"139","PJM",2019-01-06,22,2019-01-06 22:00:00,2019-01-07 03:00:00,90028,90500,83924,2539,-1528,90500,83924,1.3,0.4,86863,"2019"
"140","PJM",2019-01-06,23,2019-01-06 23:00:00,2019-01-07 04:00:00,86653,86863,80980,2810,-3276,86863,80980,1.3,0.6,83708,"2019"
"141","PJM",2019-01-06,24,2019-01-07 00:00:00,2019-01-07 05:00:00,82898,83708,76569,2885,-2972,83708,76569,1.5,1,81828,"2019"
"142","PJM",2019-01-07,1,2019-01-07 01:00:00,2019-01-07 06:00:00,79562,81828,77756,2264,-2406,81828,77756,1.9,1.7,81383,"2019"
"143","PJM",2019-01-07,2,2019-01-07 02:00:00,2019-01-07 07:00:00,78193,81383,77899,2881,-2972,81383,77899,2.3,2.1,81512,"2019"
"144","PJM",2019-01-07,3,2019-01-07 03:00:00,2019-01-07 08:00:00,77992,81512,78291,2852,-3762,81512,78291,2.5,2.4,82132,"2019"
"145","PJM",2019-01-07,4,2019-01-07 04:00:00,2019-01-07 09:00:00,78839,82132,79369,2845,-3907,82132,79369,2.5,2.2,83272,"2019"
"146","PJM",2019-01-07,5,2019-01-07 05:00:00,2019-01-07 10:00:00,81478,83272,83534,2976,-2889,83272,83534,2.4,2.3,88125,"2019"
"147","PJM",2019-01-07,6,2019-01-07 06:00:00,2019-01-07 11:00:00,86962,88125,91298,2950,-4009,88125,91298,2.3,2.4,96737,"2019"
"148","PJM",2019-01-07,7,2019-01-07 07:00:00,2019-01-07 12:00:00,95047,96737,96580,2598,-4020,96737,96580,2.2,2.3,102011,"2019"
"149","PJM",2019-01-07,8,2019-01-07 08:00:00,2019-01-07 13:00:00,100176,102011,97029,2572,-3978,102011,97029,2.2,2.4,102278,"2019"
"150","PJM",2019-01-07,9,2019-01-07 09:00:00,2019-01-07 14:00:00,100309,102278,96278,2578,-4137,102278,96278,2.1,2.2,101570,"2019"
"151","PJM",2019-01-07,10,2019-01-07 10:00:00,2019-01-07 15:00:00,98995,101570,95453,2469,-3786,101570,95453,2.1,2.2,101231,"2019"
"152","PJM",2019-01-07,11,2019-01-07 11:00:00,2019-01-07 16:00:00,97542,101231,94439,2119,-3159,101231,94439,2.2,2.1,99805,"2019"
"153","PJM",2019-01-07,12,2019-01-07 12:00:00,2019-01-07 17:00:00,96123,99805,93177,2381,-3342,99805,93177,2.5,3.6,99002,"2019"
"154","PJM",2019-01-07,13,2019-01-07 13:00:00,2019-01-07 18:00:00,94793,99002,92933,2032,-3150,99002,92933,2.5,2.2,98663,"2019"
"155","PJM",2019-01-07,14,2019-01-07 14:00:00,2019-01-07 19:00:00,93998,98663,92630,1870,-2720,98663,92630,2.4,2.2,98284,"2019"
"156","PJM",2019-01-07,15,2019-01-07 15:00:00,2019-01-07 20:00:00,93416,98284,92782,1914,-2083,98284,92782,2.4,2.3,98330,"2019"
"157","PJM",2019-01-07,16,2019-01-07 16:00:00,2019-01-07 21:00:00,93733,98330,93934,2008,-2731,98330,93934,2.3,2.2,100152,"2019"
"158","PJM",2019-01-07,17,2019-01-07 17:00:00,2019-01-07 22:00:00,97094,100152,99003,1901,-1895,100152,99003,2.1,2.2,104538,"2019"
"159","PJM",2019-01-07,18,2019-01-07 18:00:00,2019-01-07 23:00:00,103156,104538,99348,1919,-1601,104538,99348,1.9,2,105266,"2019"
"160","PJM",2019-01-07,19,2019-01-07 19:00:00,2019-01-08 00:00:00,103856,105266,97639,1917,-1656,105266,97639,1.6,2.1,103718,"2019"
"161","PJM",2019-01-07,20,2019-01-07 20:00:00,2019-01-08 01:00:00,102348,103718,95746,1679,-1963,103718,95746,1.5,1.9,101237,"2019"
"162","PJM",2019-01-07,21,2019-01-07 21:00:00,2019-01-08 02:00:00,99885,101237,91348,1803,-1614,101237,91348,1.4,1.9,96814,"2019"
"163","PJM",2019-01-07,22,2019-01-07 22:00:00,2019-01-08 03:00:00,96272,96814,86610,1902,-1832,96814,86610,1.4,2,91526,"2019"
"164","PJM",2019-01-07,23,2019-01-07 23:00:00,2019-01-08 04:00:00,90929,91526,82332,2231,-1909,91526,82332,1.3,2,86871,"2019"
"165","PJM",2019-01-07,24,2019-01-08 00:00:00,2019-01-08 05:00:00,85400,86871,77969,2363,-1441,86871,77969,1.4,1.6,83446,"2019"
"166","PJM",2019-01-08,1,2019-01-08 01:00:00,2019-01-08 06:00:00,81533,83446,78064,3813,-1714,83446,78064,1.8,1,81186,"2019"
"167","PJM",2019-01-08,2,2019-01-08 02:00:00,2019-01-08 07:00:00,78997,81186,76168,3847,-1991,81186,76168,2.3,1.7,80118,"2019"
"168","PJM",2019-01-08,3,2019-01-08 03:00:00,2019-01-08 08:00:00,77754,80118,76651,3586,-2640,80118,76651,2.4,2.1,80516,"2019"
"169","PJM",2019-01-08,4,2019-01-08 04:00:00,2019-01-08 09:00:00,77404,80516,78023,3620,-2840,80516,78023,2.3,1.1,81597,"2019"
"170","PJM",2019-01-08,5,2019-01-08 05:00:00,2019-01-08 10:00:00,78769,81597,80692,4031,-5184,81597,80692,2.3,1.5,85005,"2019"
"171","PJM",2019-01-08,6,2019-01-08 06:00:00,2019-01-08 11:00:00,82947,85005,86183,3706,-5302,85005,86183,2.2,1.8,92054,"2019"
"172","PJM",2019-01-08,7,2019-01-08 07:00:00,2019-01-08 12:00:00,89494,92054,90544,3466,-4998,92054,90544,2.2,1.7,96890,"2019"
"173","PJM",2019-01-08,8,2019-01-08 08:00:00,2019-01-08 13:00:00,93539,96890,90408,3125,-5047,96890,90408,2.1,1.2,96623,"2019"
"174","PJM",2019-01-08,9,2019-01-08 09:00:00,2019-01-08 14:00:00,93826,96623,89023,3190,-5857,96623,89023,2.1,1.7,95526,"2019"
